kappa,$\omega_{0}$,$\omega_{1}$,$\omega_{2}$,$\omega_{3}$,$\omega_{4}$
0,-2.0,-1.0,0.0,1.0,2.0
1,-1.987290431973793,-1.000086478188047,1.9872904319737896,-3.9913571627678876e-17,1.0000864781880465
2,-1.9480925935944065,-1.0014590234783098,1.9480925935944062,-3.837085859003475e-17,1.0014590234783083
3,-1.8785976070415167,-1.0081364245023319,1.8785976070415127,1.7672209427134975e-17,1.0081364245023328
4,-1.7693702407255634,-1.0302009525962228,1.7693702407255634,1.0302009525962215,-4.9882658125741984e-17
5,-1.5905484996450365,-1.0992155538103279,1.5905484996450354,1.099215553810329,-2.3868603218245485e-16
6,-1.3196411444324658,-1.2417377591570276,1.3196411444324674,1.2417377591570253,6.3660545918657045e-16
7,-1.1752370145533138,-1.247548003486434,1.1752370145533104,1.247548003486436,-3.1332775932714894e-17
8,-1.1071234389977165,-1.1786215199477283,1.1071234389977158,1.178621519947733,6.759344892212041e-17
9,-1.0518520085511351,-1.1059092461609248,1.0518520085511365,1.1059092461609261,8.882568385220745e-17
10,-1.0105815368674465,1.0105815368674433,-1.0267962404274142,1.0267962404274118,1.2488871880664108e-15
11,-0.980233268681479,0.9802332686814796,-0.9377214427031662,0.9377214427031689,-9.131064369732257e-16
12,-0.9576215987595311,0.9576215987595333,-0.8330268068279079,3.3354326207289313e-15,0.833026806827909
13,-0.9404238248286354,0.9404238248286363,-0.702965588994663,-1.4117691898370655e-15,0.7029655889946634
14,-0.9270696814403947,0.9270696814403961,-0.5499042494657654,-1.030977106904319e-15,0.5499042494657672
15,-0.916502289317719,0.9165022893177169,-0.5012753292170504,3.5014547360599897e-15,0.501275329217048
16,-0.9079988873757574,0.907998887375762,3.088787895085685e-15,-0.5011160398759756,0.5011160398759734
17,-0.9010547280866583,0.9010547280866577,-7.390776578171599e-16,-0.5046062378159697,0.5046062378159694
18,-0.8953097615275902,0.8953097615275867,1.1584510691489243e-15,-0.5078616331351284,0.5078616331351278
