,gain_0.0,gain_2.5,gain_5.0
0.0,-0.0001922335912754026,1.4884835313579728e-17,7.442417656789864e-18
0.1,-0.19159261184074453,-2.5634268789626353e-06,1.4642870921774238e-06
0.2,-0.3293027141542218,-2.4910912660493316e-05,6.689442510258397e-06
0.30000000000000004,-0.40244102101312496,-7.621226125575524e-06,-7.270600096929506e-06
0.4,-0.46586554203424596,-1.666449920660577e-05,-1.678211898763033e-06
0.5,-0.5349948588000929,5.80912599648729e-06,-5.654481920408536e-06
0.6000000000000001,-0.6078973958848288,-4.27074744998659e-05,2.0556302620863427e-08
0.7000000000000001,-0.6816723858306959,-1.803585098159893e-05,3.300298370399018e-06
0.8,-0.7533748410315332,8.099938804525286e-06,-3.7667387265899648e-06
0.9,-0.8188627586407647,5.6729702874311656e-05,-1.4167342287954233e-05
1.0,-0.869947946517676,-2.4281304815429425e-05,0.0
1.1,-0.8867744620809089,1.1163626485184796e-17,2.9769670627159456e-17
1.2000000000000002,-0.837086625254962,1.4884835313579728e-17,-2.6048461798764524e-17
1.3,-0.7463959290989107,3.721208828394932e-18,1.1163626485184796e-17
1.4000000000000001,-0.6653597749845371,1.860604414197466e-17,1.1163626485184796e-17
1.5,-0.6009027505800694,1.860604414197466e-17,4.4654505940739184e-17
1.6,-0.5491363719617615,0.0,3.721208828394932e-18
1.7000000000000002,-0.5065714971176071,7.442417656789864e-18,-3.721208828394932e-18
1.8,-0.47082068967289575,7.442417656789864e-18,1.4884835313579728e-17
1.9000000000000001,-0.4402648904352047,0.0,7.442417656789864e-18
2.0,-0.41377556530972054,2.9769670627159456e-17,2.2327252970369592e-17
